output_dir,output_filename,travel_cost,conquer_cost,cost
outputs,226.out,394.0,7500.0,7894.0
outputs,227.out,98.0,0.048000000000000036,98.048
outputs,228.out,196.0,960.0,1156.0
outputs,229.out,940844.0,81847308.0,82788152.0
outputs,23.out,998.3999999999985,48000.0,48998.4
outputs,230.out,58.0,72.0,130.0
outputs,231.out,102688980478.93777,57107452420.53231,159796432899.4701
outputs,232.out,203369662665.51837,115726329898.75006,319095992564.26843
outputs,233.out,39591763905.89541,23553856230.329597,63145620136.225006
outputs,234.out,77840.0,24654.0,102494.0
outputs,235.out,135834.0,53443.0,189277.0
outputs,236.out,46368.0,12518.0,58886.0
outputs,237.out,145648.0,107306.0,252954.0
outputs,238.out,293694.0,159283.0,452977.0
outputs,239.out,17474.0,24771.0,42245.0
outputs,24.out,39660058844.0,23150019234.0,62810078078.0
outputs,240.out,656.0,92.0,748.0
outputs,241.out,1428.0,198.0,1626.0
outputs,242.out,256.0,44.0,300.0
outputs,243.out,18371.998000000003,2681.0,21052.998000000003
outputs,244.out,36745.996,5362.0,42107.996
outputs,245.out,17039.998000000003,1352.0,18391.998000000003
outputs,246.out,18874.832000000024,7415.0,26289.832000000024
outputs,247.out,38727.831999999995,19353.0,58080.831999999995
outputs,248.out,10814.174000000003,4475.0,15289.174000000003
outputs,25.out,84040097754.0,58360037682.0,142400135436.0
outputs,251.out,12.0,23.0,35.0
outputs,252.out,10.727,9.751600000000002,20.4786
outputs,253.out,8.6934,8.8354,17.5288
outputs,254.out,5.073,11.2604,16.3334
outputs,255.out,8.28,45.0,53.28
outputs,256.out,10.839999999999998,35.0,45.839999999999996
outputs,257.out,5.54,21.0,26.54
outputs,258.out,4059200.0,2017731.0,6076931.0
outputs,259.out,5605.0,5.0,5610.0
outputs,26.out,26420021496.0,14970011134.0,41390032630.0
outputs,260.out,6042.0,2758.0,8800.0
outputs,261.out,3156.0,898.0,4054.0
outputs,262.out,6350.0,1786.0,8136.0
outputs,263.out,1506.0,416.0,1922.0
outputs,264.out,1090.0,783.0,1873.0
outputs,265.out,1584.0,1037.0,2621.0
outputs,266.out,238.0,222.0,460.0
outputs,267.out,6059972201.743358,728865513.4735699,6788837715.216928
outputs,268.out,12131944159.486717,1884869141.9471397,14016813301.433857
outputs,269.out,4470.0,469.0,4939.0
outputs,27.out,768.0,182257.0,183025.0
outputs,270.out,15.0,20.0,35.0
outputs,271.out,68.0,3.0,71.0
outputs,272.out,41.0,20.0,61.0
outputs,273.out,124.0,94.5,218.5
outputs,274.out,252.0,190.5,442.5
outputs,275.out,60.0,46.5,106.5
outputs,276.out,744.0,157.0,901.0
outputs,277.out,592.0,891.0,1483.0
outputs,278.out,372.0,79.0,451.0
outputs,279.out,37586435852.39999,20672540628.819992,58258976481.21998
outputs,28.out,405348.0,220531.0,625879.0
outputs,280.out,75172871704.80002,39465758995.01999,114638630699.82
outputs,281.out,18793217926.199993,11275931445.719997,30069149371.91999
outputs,282.out,364.0,135.0,499.0
outputs,283.out,730.0,270.0,1000.0
outputs,284.out,120.0,45.0,165.0
