output_dir,output_filename,travel_cost,conquer_cost,cost,
outputs-dijsktra-greedy,184.out,7078.0,529.0,7607.0,
outputs-dijsktra-greedy,185.out,1338.0,137.0,1475.0,
outputs-dijsktra-greedy,186.out,3650.0,2062.0,5712.0,
outputs-dijsktra-greedy,187.out,7320.0,4224.0,11544.0,
outputs-dijsktra-greedy,188.out,520.0,875.0,1395.0,
outputs-dijsktra-greedy,189.out,17534.00093999999,48.0,17582.00093999999,
outputs-dijsktra-greedy,19.out,40600.0,9750.0,50350.0,
outputs-dijsktra-greedy,190.out,37544.3484,100.0,37644.3484,
outputs-dijsktra-greedy,191.out,520.46584,15.44904,535.9148799999999,
outputs-dijsktra-greedy,192.out,738.0,195.0,933.0,
outputs-dijsktra-greedy,193.out,1203.8000000000004,353.0,1556.8000000000004,
outputs-dijsktra-greedy,194.out,470.0,2025.0,2495.0,
outputs-dijsktra-greedy,195.out,0.04,999999999.97,1000000000.01,
outputs-dijsktra-greedy,196.out,179.09999999999928,19.900000000000013,198.9999999999993,
outputs-dijsktra-greedy,197.out,348.0,209.0,557.0,
outputs-dijsktra-greedy,198.out,23766.0,45592.0,69358.0,
outputs-dijsktra-greedy,199.out,5438.0,2495.0,7933.0,
outputs-dijsktra-greedy,2.out,40.0,11.0,51.0,
outputs-dijsktra-greedy,20.out,15400.0,3450.0,18850.0,
outputs-dijsktra-greedy,200.out,42.0,18.0,60.0,
outputs-dijsktra-greedy,201.out,1692.0,3974.0,5666.0,
outputs-dijsktra-greedy,202.out,35694.0,133977.0,169671.0,
outputs-dijsktra-greedy,203.out,846.0,1990.0,2836.0,
outputs-dijsktra-greedy,204.out,808.0,483.0,1291.0,
outputs-dijsktra-greedy,205.out,6196.0,3446.0,9642.0,
outputs-dijsktra-greedy,206.out,174.0,128.0,302.0,
outputs-dijsktra-greedy,207.out,796.0,9800.0,10596.0,
outputs-dijsktra-greedy,208.out,1596.0,39600.0,41196.0,
outputs-dijsktra-greedy,209.out,396.0,4800.0,5196.0,
outputs-dijsktra-greedy,21.out,11996.799999999963,96000.0,107996.79999999996,
outputs-dijsktra-greedy,213.out,3800.0,1950.0,5750.0,
outputs-dijsktra-greedy,214.out,7900.0,4000.0,11900.0,
outputs-dijsktra-greedy,215.out,1800.0,950.0,2750.0,
outputs-dijsktra-greedy,216.out,6.0,7.0,13.0,
outputs-dijsktra-greedy,217.out,6.0,7.0,13.0,
outputs-dijsktra-greedy,218.out,6.0,6.0,12.0,
outputs-dijsktra-greedy,219.out,192.0,330.0,522.0,
outputs-dijsktra-greedy,22.out,33993.600000000064,192000.0,225993.60000000006,
outputs-dijsktra-greedy,220.out,802.0,81.0,883.0,
outputs-dijsktra-greedy,221.out,40.0,40.0,80.0,
outputs-dijsktra-greedy,222.out,226.0,119.0,345.0,
outputs-dijsktra-greedy,223.out,182.0,85.0,267.0,
outputs-dijsktra-greedy,224.out,690.0,247.0,937.0,
outputs-dijsktra-greedy,225.out,996.0,3.0,999.0,
outputs-dijsktra-greedy,226.out,394.0,7500.0,7894.0,
outputs-dijsktra-greedy,227.out,98.0,0.048000000000000036,98.048,
outputs-dijsktra-greedy,228.out,196.0,960.0,1156.0,
outputs-dijsktra-greedy,229.out,940844.0,81847308.0,82788152.0,
outputs-dijsktra-greedy,23.out,998.3999999999985,48000.0,48998.4,
outputs-dijsktra-greedy,230.out,58.0,72.0,130.0,
outputs-dijsktra-greedy,231.out,102688980478.93777,57107452420.53231,159796432899.4701,
outputs-dijsktra-greedy,232.out,203369662665.51837,115726329898.75006,319095992564.26843,
outputs-dijsktra-greedy,233.out,39591763905.89541,23553856230.329597,63145620136.225006,
outputs-dijsktra-greedy,234.out,77840.0,24654.0,102494.0,
outputs-dijsktra-greedy,235.out,135834.0,53443.0,189277.0,
outputs-dijsktra-greedy,236.out,46368.0,12518.0,58886.0,
outputs-dijsktra-greedy,237.out,145648.0,107306.0,252954.0,
outputs-dijsktra-greedy,238.out,293694.0,159283.0,452977.0,
outputs-dijsktra-greedy,239.out,17474.0,24771.0,42245.0,
outputs-dijsktra-greedy,24.out,39660058844.0,23150019234.0,62810078078.0,
outputs-dijsktra-greedy,240.out,656.0,92.0,748.0,
outputs-dijsktra-greedy,241.out,1428.0,198.0,1626.0,
outputs-dijsktra-greedy,242.out,256.0,44.0,300.0,
outputs-dijsktra-greedy,243.out,18371.998000000003,2681.0,21052.998000000003,
outputs-dijsktra-greedy,244.out,36745.996,5362.0,42107.996,
outputs-dijsktra-greedy,245.out,17039.998000000003,1352.0,18391.998000000003,
outputs-dijsktra-greedy,246.out,18874.832000000024,7415.0,26289.832000000024,
outputs-dijsktra-greedy,247.out,38727.831999999995,19353.0,58080.831999999995,
outputs-dijsktra-greedy,248.out,10814.174000000003,4475.0,15289.174000000003,
outputs-dijsktra-greedy,25.out,84040097754.0,58360037682.0,142400135436.0,
outputs-dijsktra-greedy,251.out,12.0,28.0,40.0,
outputs-dijsktra-greedy,252.out,10.727,9.751600000000002,20.4786,
outputs-dijsktra-greedy,253.out,8.6934,8.8354,17.5288,
outputs-dijsktra-greedy,254.out,5.073,11.2604,16.3334,
outputs-dijsktra-greedy,255.out,8.28,45.0,53.28,
outputs-dijsktra-greedy,256.out,10.839999999999998,35.0,45.839999999999996,
outputs-dijsktra-greedy,257.out,5.54,21.0,26.54,
outputs-dijsktra-greedy,258.out,4059200.0,2017731.0,6076931.0,
outputs-dijsktra-greedy,259.out,6404.0,806.0,7210.0,
outputs-dijsktra-greedy,26.out,26420021496.0,14970011134.0,41390032630.0,
outputs-dijsktra-greedy,260.out,6042.0,2758.0,8800.0,
outputs-dijsktra-greedy,261.out,3156.0,898.0,4054.0,
outputs-dijsktra-greedy,262.out,6350.0,1786.0,8136.0,
outputs-dijsktra-greedy,263.out,1506.0,416.0,1922.0,
outputs-dijsktra-greedy,264.out,1090.0,783.0,1873.0,
