output_dir,output_filename,travel_cost,conquer_cost,cost
outputs-concorde,21.out,151019.1999999997,143985.0,295004.1999999997
outputs-concorde,213.out,1700.0,1300.0,3000.0
outputs-concorde,214.out,3400.0,2700.0,6100.0
outputs-concorde,215.out,800.0,600.0,1400.0
outputs-concorde,219.out,99.0,330.0,429.0
outputs-concorde,22.out,441060.8000000013,239975.0,681035.8000000013
outputs-concorde,220.out,56.0,304.0,360.0
outputs-concorde,221.out,40.0,40.0,80.0
outputs-concorde,222.out,180.0,147.0,327.0
outputs-concorde,223.out,124.0,85.0,209.0
outputs-concorde,224.out,564.0,245.0,809.0
outputs-concorde,225.out,995.0,3.0,998.0
outputs-concorde,226.out,200.0,7500.0,7700.0
outputs-concorde,227.out,98.0,0.048000000000000036,98.048
outputs-concorde,228.out,195.0,960.0,1155.0
outputs-concorde,229.out,306233.0,47522902.0,47829135.0
outputs-concorde,23.out,998.3999999999985,48000.0,48998.4
outputs-concorde,230.out,58.0,72.0,130.0
outputs-concorde,231.out,61647051952.908485,49374842630.8823,111021894583.79079
outputs-concorde,232.out,111561272702.28667,91433443809.05249,202994716511.33917
outputs-concorde,233.out,29601581045.181404,24793929499.693203,54395510544.8746
outputs-concorde,234.out,34580.0,40325.0,74905.0
outputs-concorde,235.out,53612.0,82202.0,135814.0
outputs-concorde,236.out,22517.0,17318.0,39835.0
outputs-concorde,237.out,83403.0,105971.0,189374.0
outputs-concorde,238.out,143252.0,223760.0,367012.0
outputs-concorde,239.out,15847.0,22560.0,38407.0
outputs-concorde,24.out,20030028333.0,23100014437.0,43130042770.0
outputs-concorde,240.out,412.0,109.0,521.0
outputs-concorde,241.out,696.0,192.0,888.0
outputs-concorde,242.out,147.0,35.0,182.0
outputs-concorde,243.out,18190.8,2671.0,20861.8
outputs-concorde,244.out,36383.600000000006,5342.0,41725.600000000006
outputs-concorde,245.out,16979.8,1302.0,18281.8
outputs-concorde,246.out,12023.116999999997,8127.0,20150.117
outputs-concorde,247.out,23820.908000000007,23523.0,47343.90800000001
outputs-concorde,248.out,5796.525000000001,5332.0,11128.525000000001
outputs-concorde,25.out,50360059214.0,59220034739.0,109580093953.0
outputs-concorde,251.out,12.0,28.0,40.0
outputs-concorde,252.out,6.2479,8.9049,15.1528
outputs-concorde,253.out,7.2985,8.8354,16.1339
outputs-concorde,254.out,4.3597,11.2604,15.6201
outputs-concorde,255.out,6.62,52.0,58.62
outputs-concorde,256.out,8.06,41.0,49.06
outputs-concorde,257.out,3.7799999999999994,22.0,25.78
outputs-concorde,258.out,4053138.0,2015067.0,6068205.0
outputs-concorde,259.out,6003.0,806.0,6809.0
outputs-concorde,26.out,13440011370.0,14700008319.0,28140019689.0
outputs-concorde,260.out,4540.0,2757.0,7297.0
