output_dir,output_filename,travel_cost,conquer_cost,cost
outputs-dijkstra-degree-greedy,179.out,12454.961599999999,2826.5449,15281.5065
outputs-dijkstra-degree-greedy,18.out,2550.0,150.0,2700.0
outputs-dijkstra-degree-greedy,180.out,2994.0,1709.0,4703.0
outputs-dijkstra-degree-greedy,181.out,5758.0,3549.0,9307.0
outputs-dijkstra-degree-greedy,182.out,1243.0,742.0,1985.0
outputs-dijkstra-degree-greedy,183.out,3165.0,264.0,3429.0
outputs-dijkstra-degree-greedy,184.out,7110.0,605.0,7715.0
outputs-dijkstra-degree-greedy,185.out,1368.0,207.0,1575.0
outputs-dijkstra-degree-greedy,186.out,3080.0,2732.0,5812.0
outputs-dijkstra-degree-greedy,187.out,6060.0,5544.0,11604.0
outputs-dijkstra-degree-greedy,188.out,460.0,835.0,1295.0
outputs-dijkstra-degree-greedy,189.out,17484.00092999999,48.0,17532.00092999999
outputs-dijkstra-degree-greedy,19.out,2550.0,150.0,2700.0
outputs-dijkstra-degree-greedy,190.out,35952.03724,100.0,36052.03724
outputs-dijkstra-degree-greedy,191.out,501.0,15.0,516.0
outputs-dijkstra-degree-greedy,192.out,242.0,140.0,382.0
outputs-dijkstra-degree-greedy,193.out,179.60000000000002,250.0,429.6
outputs-dijkstra-degree-greedy,194.out,470.0,1025.0,1495.0
outputs-dijkstra-degree-greedy,195.out,0.04,999999999.97,1000000000.01
outputs-dijkstra-degree-greedy,196.out,179.09999999999928,19.900000000000013,198.9999999999993
outputs-dijkstra-degree-greedy,197.out,330.0,180.0,510.0
outputs-dijkstra-degree-greedy,198.out,18508.0,37534.0,56042.0
outputs-dijkstra-degree-greedy,199.out,6690.0,3199.0,9889.0
outputs-dijkstra-degree-greedy,2.out,40.0,11.0,51.0
outputs-dijkstra-degree-greedy,20.out,2550.0,150.0,2700.0
outputs-dijkstra-degree-greedy,200.out,42.0,17.0,59.0
outputs-dijkstra-degree-greedy,201.out,1652.0,4118.0,5770.0
outputs-dijkstra-degree-greedy,202.out,35654.0,134121.0,169775.0
outputs-dijkstra-degree-greedy,203.out,826.0,2062.0,2888.0
outputs-dijkstra-degree-greedy,204.out,778.0,501.0,1279.0
outputs-dijkstra-degree-greedy,205.out,4754.0,2676.0,7430.0
outputs-dijkstra-degree-greedy,206.out,174.0,108.0,282.0
outputs-dijkstra-degree-greedy,207.out,404.0,9700.0,10104.0
outputs-dijkstra-degree-greedy,208.out,804.0,39400.0,40204.0
outputs-dijkstra-degree-greedy,209.out,204.0,4700.0,4904.0
outputs-dijkstra-degree-greedy,21.out,151019.19999999998,143985.0,295004.19999999995
outputs-dijkstra-degree-greedy,213.out,2500.0,1300.0,3800.0
outputs-dijkstra-degree-greedy,214.out,5300.0,2700.0,8000.0
outputs-dijkstra-degree-greedy,215.out,1100.0,600.0,1700.0
outputs-dijkstra-degree-greedy,216.out,4.0,4.0,8.0
outputs-dijkstra-degree-greedy,217.out,4.0,4.0,8.0
outputs-dijkstra-degree-greedy,218.out,4.0,4.0,8.0
outputs-dijkstra-degree-greedy,219.out,192.0,330.0,522.0
outputs-dijkstra-degree-greedy,22.out,451060.80000000005,239975.0,691035.8
outputs-dijkstra-degree-greedy,220.out,72.0,304.0,376.0
outputs-dijkstra-degree-greedy,221.out,40.0,40.0,80.0
outputs-dijkstra-degree-greedy,222.out,228.0,147.0,375.0
outputs-dijkstra-degree-greedy,223.out,182.0,85.0,267.0
outputs-dijkstra-degree-greedy,224.out,785.0,245.0,1030.0
outputs-dijkstra-degree-greedy,225.out,996.0,3.0,999.0
outputs-dijkstra-degree-greedy,226.out,394.0,7500.0,7894.0
outputs-dijkstra-degree-greedy,227.out,98.0,0.048000000000000036,98.048
outputs-dijkstra-degree-greedy,228.out,196.0,960.0,1156.0
outputs-dijkstra-degree-greedy,229.out,458490.0,47522902.0,47981392.0
outputs-dijkstra-degree-greedy,23.out,998.3999999999985,48000.0,48998.4
outputs-dijkstra-degree-greedy,230.out,58.0,72.0,130.0
outputs-dijkstra-degree-greedy,231.out,87002889314.51022,49374842630.8823,136377731945.39252
outputs-dijkstra-degree-greedy,232.out,160703046967.3316,91433443809.05249,252136490776.3841
outputs-dijkstra-degree-greedy,233.out,38918399043.46841,24793929499.693203,63712328543.161606
outputs-dijkstra-degree-greedy,234.out,43364.0,40325.0,83689.0
outputs-dijkstra-degree-greedy,235.out,68254.0,82202.0,150456.0
outputs-dijkstra-degree-greedy,236.out,30368.0,17318.0,47686.0
outputs-dijkstra-degree-greedy,237.out,119070.0,105971.0,225041.0
outputs-dijkstra-degree-greedy,238.out,200380.0,223760.0,424140.0
outputs-dijkstra-degree-greedy,239.out,17748.0,22560.0,40308.0
outputs-dijkstra-degree-greedy,24.out,30420046905.0,23100014437.0,53520061342.0
outputs-dijkstra-degree-greedy,240.out,694.0,109.0,803.0
outputs-dijkstra-degree-greedy,241.out,1240.0,192.0,1432.0
outputs-dijkstra-degree-greedy,242.out,202.0,35.0,237.0
outputs-dijkstra-degree-greedy,243.out,18257.8,2671.0,20928.8
outputs-dijkstra-degree-greedy,244.out,36517.600000000006,5342.0,41859.600000000006
outputs-dijkstra-degree-greedy,245.out,16979.8,1302.0,18281.8
outputs-dijkstra-degree-greedy,246.out,15837.682000000006,8127.0,23964.682000000008
outputs-dijkstra-degree-greedy,247.out,34095.84399999999,23523.0,57618.84399999999
outputs-dijkstra-degree-greedy,248.out,9344.020000000002,5332.0,14676.020000000002
outputs-dijkstra-degree-greedy,25.out,69530086447.0,59220034739.0,128750121186.0
outputs-dijkstra-degree-greedy,251.out,12.0,28.0,40.0
outputs-dijkstra-degree-greedy,252.out,9.225399999999999,8.9049,18.1303
outputs-dijkstra-degree-greedy,253.out,8.4321,8.8354,17.2675
outputs-dijkstra-degree-greedy,254.out,4.6245,11.2604,15.884900000000002
outputs-dijkstra-degree-greedy,255.out,7.72,52.0,59.72
outputs-dijkstra-degree-greedy,256.out,9.400000000000002,41.0,50.400000000000006
outputs-dijkstra-degree-greedy,257.out,3.8400000000000003,22.0,25.84
outputs-dijkstra-degree-greedy,258.out,4058076.0,2015067.0,6073143.0
outputs-dijkstra-degree-greedy,259.out,6003.0,806.0,6809.0
outputs-dijkstra-degree-greedy,26.out,19760015912.0,14700008319.0,34460024231.0
outputs-dijkstra-degree-greedy,260.out,5042.0,2757.0,7799.0
outputs-dijkstra-degree-greedy,261.out,3314.0,978.0,4292.0
outputs-dijkstra-degree-greedy,262.out,6594.0,1916.0,8510.0
outputs-dijkstra-degree-greedy,263.out,1490.0,424.0,1914.0
outputs-dijkstra-degree-greedy,264.out,1020.0,896.0,1916.0
outputs-dijkstra-degree-greedy,265.out,1448.0,1520.0,2968.0
outputs-dijkstra-degree-greedy,266.out,218.0,243.0,461.0
outputs-dijkstra-degree-greedy,267.out,6059972020.456548,2393768299.28991,8453740319.746458
outputs-dijkstra-degree-greedy,268.out,12131943690.97645,8392641697.1633215,20524585388.13977
outputs-dijkstra-degree-greedy,269.out,4465.869,667.0,5132.869
outputs-dijkstra-degree-greedy,27.out,462.0,156746.0,157208.0
outputs-dijkstra-degree-greedy,270.out,20.0,24.0,44.0
outputs-dijkstra-degree-greedy,271.out,68.0,3.0,71.0
outputs-dijkstra-degree-greedy,272.out,41.0,22.0,63.0
outputs-dijkstra-degree-greedy,273.out,124.0,94.5,218.5
outputs-dijkstra-degree-greedy,274.out,252.0,190.5,442.5
outputs-dijkstra-degree-greedy,275.out,60.0,46.5,106.5
outputs-dijkstra-degree-greedy,276.out,900.0,127.0,1027.0
outputs-dijkstra-degree-greedy,277.out,570.0,781.0,1351.0
outputs-dijkstra-degree-greedy,278.out,450.0,64.0,514.0
outputs-dijkstra-degree-greedy,279.out,22551863351.43999,11275933275.719997,33827796627.15999
outputs-dijkstra-degree-greedy,28.out,438675.0,268035.0,706710.0
outputs-dijkstra-degree-greedy,280.out,45103726702.88,22551866551.43999,67655593254.31999
outputs-dijkstra-degree-greedy,281.out,15034575400.959995,7517288120.48,22551863521.439995
outputs-dijkstra-degree-greedy,282.out,364.0,144.0,508.0
outputs-dijkstra-degree-greedy,283.out,730.0,288.0,1018.0
outputs-dijkstra-degree-greedy,284.out,120.0,48.0,168.0
outputs-dijkstra-degree-greedy,285.out,313.0,539.0,852.0
outputs-dijkstra-degree-greedy,286.out,54.0,41.0,95.0
outputs-dijkstra-degree-greedy,287.out,210.0,280.0,490.0
outputs-dijkstra-degree-greedy,288.out,738.0,369.0,1107.0
outputs-dijkstra-degree-greedy,289.out,2730.0,1365.0,4095.0
outputs-dijkstra-degree-greedy,29.out,9434.0,567.0,10001.0
outputs-dijkstra-degree-greedy,290.out,630.0,315.0,945.0
outputs-dijkstra-degree-greedy,291.out,113.0,137.5,250.5
outputs-dijkstra-degree-greedy,292.out,180.0,61.0,241.0
outputs-dijkstra-degree-greedy,293.out,113.0,137.5,250.5
outputs-dijkstra-degree-greedy,294.out,16.0,6.0,22.0
outputs-dijkstra-degree-greedy,295.out,20.0,7.0,27.0
outputs-dijkstra-degree-greedy,296.out,10.0,5.0,15.0
outputs-dijkstra-degree-greedy,297.out,7506.0,270.0,7776.0
outputs-dijkstra-degree-greedy,298.out,15012.0,540.0,15552.0
outputs-dijkstra-degree-greedy,299.out,3336.0,120.0,3456.0
outputs-dijkstra-degree-greedy,3.out,2289.2699999999995,33.45,2322.7199999999993
outputs-dijkstra-degree-greedy,30.out,467.53542000000004,448.90693000000005,916.44235
outputs-dijkstra-degree-greedy,300.out,4751552.0,1535792.0,6287344.0
outputs-dijkstra-degree-greedy,301.out,17862961.0,13611497.0,31474458.0
outputs-dijkstra-degree-greedy,302.out,191225.0,47753.0,238978.0
outputs-dijkstra-degree-greedy,303.out,547.0,297.0,844.0
outputs-dijkstra-degree-greedy,304.out,1763.0,617.0,2380.0
outputs-dijkstra-degree-greedy,305.out,377.0,161.0,538.0
outputs-dijkstra-degree-greedy,306.out,101.68476000000001,39.350770000000004,141.03553000000002
outputs-dijkstra-degree-greedy,307.out,63.6219,26.942520000000002,90.56442
outputs-dijkstra-degree-greedy,308.out,55.204620000000006,57.013270000000006,112.21789000000001
outputs-dijkstra-degree-greedy,309.out,1800.0,860.0,2660.0
outputs-dijkstra-degree-greedy,31.out,1086.5270700000003,1126.9283200000002,2213.4553900000005
outputs-dijkstra-degree-greedy,311.out,762.0,816.0,1578.0
outputs-dijkstra-degree-greedy,312.out,4126687637.0,3077783112.0,7204470749.0
outputs-dijkstra-degree-greedy,313.out,8863434252.0,7092094194.0,15955528446.0
outputs-dijkstra-degree-greedy,314.out,2799284608.0,2022333619.0,4821618227.0
outputs-dijkstra-degree-greedy,315.out,266.0,124.0,390.0
outputs-dijkstra-degree-greedy,316.out,526.0,268.0,794.0
outputs-dijkstra-degree-greedy,317.out,120.0,60.0,180.0
outputs-dijkstra-degree-greedy,318.out,313.0,539.0,852.0
outputs-dijkstra-degree-greedy,319.out,54.0,41.0,95.0
outputs-dijkstra-degree-greedy,32.out,212.67720999999995,260.13688,472.81408999999996
outputs-dijkstra-degree-greedy,320.out,153.0,191.0,344.0
outputs-dijkstra-degree-greedy,321.out,40.0,7000.0,7040.0
outputs-dijkstra-degree-greedy,322.out,325.0,59777.0,60102.0
outputs-dijkstra-degree-greedy,323.out,333.0,66941.0,67274.0
outputs-dijkstra-degree-greedy,324.out,256.0,160.0,416.0
outputs-dijkstra-degree-greedy,325.out,330.0,35.0,365.0
outputs-dijkstra-degree-greedy,326.out,64.0,18.0,82.0
outputs-dijkstra-degree-greedy,327.out,62570.0,27403.0,89973.0
outputs-dijkstra-degree-greedy,328.out,15466.0,8275.0,23741.0
outputs-dijkstra-degree-greedy,329.out,1788.0,534.0,2322.0
outputs-dijkstra-degree-greedy,33.out,794.0,264.0,1058.0
outputs-dijkstra-degree-greedy,330.out,244.0,163.0,407.0
outputs-dijkstra-degree-greedy,331.out,244.0,163.0,407.0
outputs-dijkstra-degree-greedy,332.out,138.0,105.0,243.0
outputs-dijkstra-degree-greedy,333.out,28071268.019999996,8447301.38,36518569.4
outputs-dijkstra-degree-greedy,334.out,64745955.94999998,20640324.760000005,85386280.70999998
outputs-dijkstra-degree-greedy,335.out,5492148.4799999995,4083712.1999999997,9575860.68
outputs-dijkstra-degree-greedy,336.out,0,1.0,1.0
outputs-dijkstra-degree-greedy,337.out,0,1.0,1.0
outputs-dijkstra-degree-greedy,338.out,0,1.0,1.0
outputs-dijkstra-degree-greedy,339.out,6036.0,3178.0,9214.0
outputs-dijkstra-degree-greedy,34.out,1868.0,768.0,2636.0
outputs-dijkstra-degree-greedy,340.out,13984.0,8458.0,22442.0
outputs-dijkstra-degree-greedy,341.out,3576.0,2365.0,5941.0
outputs-dijkstra-degree-greedy,342.out,694.0,272.0,966.0
outputs-dijkstra-degree-greedy,343.out,1926.0,794.0,2720.0
outputs-dijkstra-degree-greedy,344.out,334.0,161.0,495.0
outputs-dijkstra-degree-greedy,345.out,1107667.05996,960.0,1108627.05996
outputs-dijkstra-degree-greedy,346.out,7035.345719999998,280.0,7315.345719999998
outputs-dijkstra-degree-greedy,347.out,2302.0,15.0,2317.0
outputs-dijkstra-degree-greedy,348.out,14.0,7.0,21.0
outputs-dijkstra-degree-greedy,349.out,16.0,5.0,21.0
outputs-dijkstra-degree-greedy,35.out,196.0,89.0,285.0
outputs-dijkstra-degree-greedy,350.out,16.0,6.0,22.0
outputs-dijkstra-degree-greedy,351.out,899.37196,509.0,1408.37196
outputs-dijkstra-degree-greedy,352.out,897.3827299999997,525.0,1422.3827299999998
outputs-dijkstra-degree-greedy,353.out,763.1669899999999,604.0,1367.16699
outputs-dijkstra-degree-greedy,354.out,1354.0,480.0,1834.0
outputs-dijkstra-degree-greedy,355.out,2710.0,960.0,3670.0
outputs-dijkstra-degree-greedy,356.out,676.0,240.0,916.0
outputs-dijkstra-degree-greedy,357.out,118.0,186.0,304.0
outputs-dijkstra-degree-greedy,358.out,118.0,186.0,304.0
outputs-dijkstra-degree-greedy,359.out,118.0,186.0,304.0
outputs-dijkstra-degree-greedy,36.out,25.0,14.0,39.0
outputs-dijkstra-degree-greedy,360.out,858.0,102.0,960.0
outputs-dijkstra-degree-greedy,361.out,1196.0,126.0,1322.0
outputs-dijkstra-degree-greedy,362.out,782.0,177.0,959.0
outputs-dijkstra-degree-greedy,363.out,60.0,31.0,91.0
outputs-dijkstra-degree-greedy,364.out,68.0,35.0,103.0
outputs-dijkstra-degree-greedy,365.out,4.0,2.5,6.5
outputs-dijkstra-degree-greedy,366.out,630.0,298.0,928.0
outputs-dijkstra-degree-greedy,367.out,1052.0,773.0,1825.0
outputs-dijkstra-degree-greedy,368.out,656.0,422.0,1078.0
outputs-dijkstra-degree-greedy,369.out,289.0,738.0,1027.0
outputs-dijkstra-degree-greedy,37.out,31.0,17.0,48.0
outputs-dijkstra-degree-greedy,370.out,751.0,2228.0,2979.0
outputs-dijkstra-degree-greedy,371.out,492.0,5551.0,6043.0
outputs-dijkstra-degree-greedy,372.out,57532365.822200015,1458049.0,58990414.822200015
outputs-dijkstra-degree-greedy,373.out,66317560.37219999,1876587.0,68194147.37219998
outputs-dijkstra-degree-greedy,374.out,49003192.5552,1216958.0,50220150.5552
outputs-dijkstra-degree-greedy,378.out,708.48,6462.0,7170.48
outputs-dijkstra-degree-greedy,379.out,731.798,26262.0,26993.798
outputs-dijkstra-degree-greedy,38.out,19.0,11.0,30.0
outputs-dijkstra-degree-greedy,380.out,653.3299999999999,1651.0,2304.33
outputs-dijkstra-degree-greedy,381.out,5119.0,2712.0,7831.0
outputs-dijkstra-degree-greedy,382.out,7769.0,5456.0,13225.0
outputs-dijkstra-degree-greedy,383.out,1551.0,1154.0,2705.0
outputs-dijkstra-degree-greedy,384.out,108.0,51.0,159.0
outputs-dijkstra-degree-greedy,385.out,116.0,59.0,175.0
outputs-dijkstra-degree-greedy,386.out,70.0,160.0,230.0
outputs-dijkstra-degree-greedy,387.out,70998.0,71460.0,142458.0
outputs-dijkstra-degree-greedy,388.out,81084.0,79423.0,160507.0
outputs-dijkstra-degree-greedy,389.out,56402.0,69161.0,125563.0
outputs-dijkstra-degree-greedy,39.out,19.200000000000003,348.0,367.2
outputs-dijkstra-degree-greedy,390.out,33359189610.0,23960137505.0,57319327115.0
outputs-dijkstra-degree-greedy,391.out,61723751326.0,44305119247.0,106028870573.0
outputs-dijkstra-degree-greedy,392.out,31560909186.0,20243895162.0,51804804348.0
